FlightNumber,DepartureDate,DepartureTime,ArrivalDate,ArrivalTime,Airline,DelayMinutes
AA1234,09/01/2023,08:30 AM,09/01/2023,10:45 AM,American Airlines,15
DL5678,09/01/2023,01:15 PM,09/01/2023,03:30 PM,Delta,5
UA9101,09/01/2023,05:00 PM,09/01/2023,07:15 PM,United Airlines,25
AA1234,09/01/2023,08:30 AM,09/01/2023,10:45 PM,American Airlines,30
DL5678,09/02/2023,02:00 PM,09/02/2023,04:10 PM,Delta,NaN
UA9101,09/02/2023,05:00 PM,09/02/2023,07:15 PM,United Airlines,20
AA1234,09/02/2023,08:30 PM,09/03/2023,10:45 AM,American Airlines,60
DL5678,09/03/2023,01:00 PM,09/03/2023,03:30 PM,Delta,10
UA9101,09/03/2023,03:00 PM,09/03/2023,05:20 PM,United Airlines,NaN
AA1234,09/03/2023,08:30 AM,09/03/2023,10:00 AM,American Airlines,15
DL5678,09/04/2023,12:30 PM,09/04/2023,02:40 PM,Delta,25
UA9101,09/04/2023,07:00 PM,09/04/2023,09:15 PM,United Airlines,45
