id,FlightNumber,DepartureDate,DepartureTime,ArrivalDate,ArrivalTime,Airline,DelayMinutes,DepartureTime_24,ArrivalTime_24,DepartureDateTime,ArrivalDateTime
1,AA1234,09/01/2023,08:30 AM,09/01/2023,10:45 AM,American Airlines,15.0,08:30,10:45,2023-09-01 08:30:00,2023-09-01 10:45:00
2,DL5678,09/01/2023,01:15 PM,09/01/2023,03:30 PM,Delta,5.0,13:15,15:30,2023-09-01 13:15:00,2023-09-01 15:30:00
3,UA9101,09/01/2023,05:00 PM,09/01/2023,07:15 PM,United Airlines,25.0,17:00,19:15,2023-09-01 17:00:00,2023-09-01 19:15:00
4,AA1234,09/01/2023,08:30 AM,09/01/2023,10:45 PM,American Airlines,30.0,08:30,22:45,2023-09-01 08:30:00,2023-09-01 22:45:00
5,DL5678,09/02/2023,02:00 PM,09/02/2023,04:10 PM,Delta,0.0,14:00,16:10,2023-09-02 14:00:00,2023-09-02 16:10:00
6,UA9101,09/02/2023,05:00 PM,09/02/2023,07:15 PM,United Airlines,20.0,17:00,19:15,2023-09-02 17:00:00,2023-09-02 19:15:00
7,AA1234,09/02/2023,08:30 PM,09/03/2023,10:45 AM,American Airlines,60.0,20:30,10:45,2023-09-02 20:30:00,2023-09-03 10:45:00
8,DL5678,09/03/2023,01:00 PM,09/03/2023,03:30 PM,Delta,10.0,13:00,15:30,2023-09-03 13:00:00,2023-09-03 15:30:00
9,UA9101,09/03/2023,03:00 PM,09/03/2023,05:20 PM,United Airlines,0.0,15:00,17:20,2023-09-03 15:00:00,2023-09-03 17:20:00
10,AA1234,09/03/2023,08:30 AM,09/03/2023,10:00 AM,American Airlines,15.0,08:30,10:00,2023-09-03 08:30:00,2023-09-03 10:00:00
12,UA9101,09/04/2023,07:00 PM,09/04/2023,09:15 PM,United Airlines,45.0,19:00,21:15,2023-09-04 19:00:00,2023-09-04 21:15:00
